"prompt_original_en","descripcion_original_en","prompt_traducido_es","descripcion_traducida_es","prompt_procesado_es","descripcion_procesada_es"
"a small plane flying over the ocean, flying rocky island, two hovering twin nuns, aerial combat, flying in formation, biplanes flying, flying islands, flying aircrafts, flying machines, an island floating in the air, realistic aircrafts, background aerial battle, flying island, biplanes, aerial photography, flying angels, flying over the ocean, airplane in the sky","Buenos días desde el @hotelencantoacapulco. 

#AcaTeQuiero 
#VisitaAcapulco 
#ViajaConOrgullo 
#VeranoEnAcapulco","a small plane flying over the ocean, flying rocky island, two hovering twin nuns, aerial combat, flying in formation, biplanes flying, flying islands, flying aircrafts, flying machines, an island floating in the air, realistic aircrafts, background aerial battle, flying island, biplanes, aerial photography, flying angels, flying over the ocean, airplane in the sky","Buenos Días desde el @hotelencantoacapulco. 

#Acatequiero 
#Visitaacapulco 
#Viajaconorgullo 
#Veranoenacapulco","small plane flying ocean flying rocky island two hovering twin nuns aerial combat flying formation biplanes flying islands flying aircrafts flying machines island floating air realistic aircrafts background aerial battle flying island biplanes aerial photography flying angels flying ocean airplane sky","buenos dias desde via jaco nor gull o"
"a large boat is docked in the water, aykut aydogdu eric zener, azores, carnival on the background, acrion, trireme, port scene background, ayahausca, alegria, 2. sigara aşırmak, empire silhouette, acnh, ships in the harbor, adularia, istanbul","En tu visita al puerto de Acapulco, no dejes de ver el espectáculo con más de 80 años de tradición de los
#Clavadistas de La Quebrada
Acapulco Guerrero.

@clavadistaslaquebrada 

#AcaTeQuiero
#VisitaAcapulco
#VIajaConOrgullo","Un gran bote está atracado en el agua, aykut aydogdu eric zener, azores, carnaval en el fondo, acrio, trireme, fondo de escena portuaria, ayahausca, Alegria, 2. Sigara aşırmak, silueta del imperio, acnh, bujos en el puerto, adularia, iesbul","En tu visita al puertio de acapulco, no dejes de ver el Espectáculo con más de 80 Años de Tradición de los
#Clavadistas de la Quebrada
Acapulco Guerrero.

@clavadistaslaquebrada 

#Acatequiero
#Visitaacapulco
#Viajaconorgullo","gran bote atracado aykut aydogdu eric zener azores carnaval acrio trireme escena portuaria ayahausca alegria 2 sigara asrmak silueta imperio acnh bujos puerto adularia iesbul","visita puertio dejes ver espectaculo 80 anos tradicion clav dist quebrada guerrero via jaco nor gull o"
"a plane flying over a beach with the words, ' la aculo ', fai, travel ad, fxaa, casiopea, raffael, ad image, alpaca, by Altichiero, app, alphonse fly, mexico, flying aircrafts, real aircrafts references, tlaquepaque, ayahausca, in the air, airport","Explora la riqueza natural de Acapulco en un emocionante recorrido por la isla de La Roqueta y admira las hermosas vistas mientras te adentras en sus senderos rodeados de vegetación tropical.

¡Este verano te esperamos en Acapulco!

#AcaTeQuiero
#VisitaAcapulco
#ViajaConOrgullo #AcapulcoTradicional","Un avión volando sobre una playa con las palabras, 'La Aculo', Fai, Travel AD, FXAA, Casiopea, Raffael, AD Image, Alpaca, por Altichiero, App, Alphonse Fly, México, aviones voladores, referencias de aviones reales, Tlaquepaque, Ayahausca, en el aire, aeropuerto","Explora la Riqueza Natural de acapulco en un emocionante recorrido por la isla de la roqueta y admira las hermanasas vistas mientras te adentras en sus sreaderos Rodeados de vegetación tropical.

¡ESTE Verano te Esperamos en acapulco!

#Acatequiero
#Visitaacapulco
#Viajaconorgullo #acapulcotradicional","avion volando palabras aculo fai travel ad fxaa casiopea raffael ad image alpaca altichiero app alphonse fly aviones voladores referencias aviones reales tlaquepaque ayahausca aire aeropuerto","explora riqueza natural emocionante recorrido isla roqueta admira hermanasas vistas mientras adentras sus sreaderos rodeados vegetacion tropical verano esperamos via jaco nor gull o tr adic ional"
"a person is flying through the air with a parachute, gopro, suspended in air, low - angle go - pro view, cables connected to head, wearing adventure gear, gopro camera, riding in the sky, puerto rico, hanging from a hot air balloon, gopro lens, hanging rope, gopro photo, gopro footage, go pro, gopro shot","Buenos días desde la Laguna de Coyuca en Pie de la Cuesta, Acapulco. 

#AcaTeQuiero
#VisitaAcapulco
#PieDeLaCuesta
#VeranoEnAcapulco
#DePieDeLaCuestaEnamórate","Una persona vuela por el aire con un paracaídas, GoPro, suspendida en el aire, bajo en ángulo, Vista, cables conectados a la cabeza, con equipo de aventura, cámara de GoPro, cabalgando en el cielo, Puerto Rico, colgando de un globo de aire caliente, lente de Gopro, cuerda colgante, foto de GoPro, imágenes de GoPro, Go Pro, Gopro dotado","Buenos Días desde la Laguna de Coyuca en Pie de la Cuesta, Acapulco. 

#Acatequiero
#Visitaacapulco
#Piedelacuesta
#Veranoenacapulco
#DEPIEDELACUESTAENAMÓRATE","persona vuela aire paracaidas gopro suspendida aire bajo angulo cables conectados cabeza equipo aventura camara gopro cabalgando cielo puerto rico colgando globo aire caliente lente gopro cuerda colgante gopro imagenes gopro go pro gopro dotado","buenos dias desde laguna coyuca pie cuesta pie dela cuesta enamor ate"
"a table with bowls of food and a plate of chips, breakfast at las pozas, local foods, mexican desert, food focus, food. craft and adventure, the table is full of food, pan and plates, tlaquepaque, mushrooms and peyote at the base, 4 k food photography, 4k food photography","Pie de la Cuesta, #Acapulco mundialmente famosa por sus inigualables Puestas de Sol.

Visítanos y sorprendente con sus colores.

#AcaTeQuiero
#VisitaAcapulco
#VeranoEnAcapulco 
#PieDeLaCuesta 
#DePieDeLaCuestaEnamorate","Una mesa con tazones de comida y un plato de papas fritas, desayuno en Las Poxas, alimentos locales, desierto mexicano, enfoque de alimentos, comida. Craft and Adventure, la mesa está llena de comida, sartén y platos, tlaquepacque, champiñones y peyote en la base, 4 k fotografía de alimentos, 4k fotografía de alimentos","PIE DE LA CUESTA, #ACAPULCO MUNDIALMENTO FAMOSA POR SUS INIGUALABLES PUESTAS DE SOL.

Visítanos y Sorprendentes con colores.

#Acatequiero
#Visitaacapulco
#Veranoenacapulco 
#Piedelacuesta 
#DepiedElacuestAenamor","mesa tazones comida plato papas fritas desayuno poxas alimentos locales desierto mexicano enfoque alimentos comida craft adventure mesa llena comida sarten platos tlaquepacque champinones peyote base 4 k alimentos 4k alimentos","pie cuesta mundialmento famosa sus inigualables puestas visitanos sorprendentes colores pie dela cuesta enamor"
"two people scubaing in the ocean, scuba diving, humans hide in the underwater, a diver is under the sea, underwater smoke, an diver is under the sea, deep underwater, floating under water, swimming deep underwater, swimming underwater, sinking underwater, scuba mask, underwater, underwater face, underwater perspective, an astronaut is under the sea, underwater view, deep under water","Enamórate de Acapulco, despierta con el sonido de las olas del mar y disfruta de los maravillosos amaneceres que la bahía te ofrece. 

Será una experiencia que querrás repetir una y otra vez.

#AcaTeQuiero
#VisitaAcapulco
#VeranoEnAcapulco","Dos personas que bucean en el océano, bucean, los humanos se esconden en el agua, un buzo está debajo del mar, el humo submarino, y el buzo está debajo del mar, bajo el agua, flotando bajo el agua, nadando bajo el agua, nadando bajo el agua, hundiendo bajo agua, máscaras de buceo, submarino, cara bajo, cara","Enamórate de acapulco, despierta con el Sonido de las Olas del Mar y Disfruta de los Maravillos Amanederes que la Bahía Te OfRECE. 

SERÁ UNA EXPENCIA QUE QUERRÁS REPETIR UNA Y OTRA VEZ.

#Acatequiero
#Visitaacapulco
#Veranoenacapulco","dos bucean bucean humanos esconden buzo debajo humo submarino buzo debajo bajo flotando bajo nadando bajo hundiendo bajo mascaras buceo submarino cara bajo cara","enamorate despierta sonido olas mar maravillos amanederes bahia ofrece sera expencia querras repetir otra vez"
"a family jumping in front of the word, apocalpyse, apollo, travel ad, caulicoli, namco, apocaliptic, by Zvest Apollonio, postcard, heroic jumping pose, vallejo, happy apearance, commercial banner, amicable, promotional poster, apeling, jump pose, pacal votan, digital banner","Buenos días desde Playa Palmitas en la isla de La Roqueta, Acapulco.

#AcaTeQuiero
#VisitaAcapulco
#VeranoEnAcapulco","Una familia que salta frente a la palabra, Apocalpyse, Apollo, Travel AD, Caulicoli, Namco, Apocaliptic, por Zvest Apollonio, Postcard, Heroic Jumping Pose, Vallejo, Happy Apearance, Commercial Banner, Amilable, Posters, Apeling, Jump Pose, Votan Pacal, Banner digital","Buenos Días desde Playa Palmitas en la Isla de la Roqueta, Acapulco.

#Acatequiero
#Visitaacapulco
#Veranoenacapulco","familia salta frente palabra apocalpyse apollo travel ad caulicoli namco apocaliptic zvest apollonio postcard heroic jumping pose vallejo happy apearance commercial banner amilable posters apeling jump pose votan pacal banner digital","buenos dias desde playa palmitas isla roqueta"
"a man with no shirt holding a brush, miguel iglesias, caio santos, danilo torres, edu souza, julio lacerda, gonzalo fuenmayor, vitorugo, holding brush, gui guimaraes, toolbelt, nico delort, gostoso, valter de morais, rafeal albuquerque, gustavo dore","Este será tu nuevo lugar favorito para disfrutar de los atardeceres sobre el mar 🌅

¿Sabes de qué lugar hablamos?

#AcaTeQuiero
#VisitaAcapulco
#VeranoEnAcapulco","Un hombre sin camisa con un cepillo, Miguel Iglesias, Caio Santos, Danilo Torres, Edu Souza, Julio Lacerda, Gonzalo Fuenmayor, Vitorugo, Holding Brush, Gui Guimaraes, Toolbelt, Nico Delort, Gostoso, Vastter de Morais, Rafeal Albuquerque, Gustavo Dore Dore Dore Dore","Este SERÁ TU NUEVO LUGAR Favorito para Disfrutar de los Atardeceres Sobre El Mar 🌅

¿Sabes de Qué Lugar Habar?

#Acatequiero
#Visitaacapulco
#Veranoenacapulco","hombre sin camisa cepillo miguel iglesias caio santos danilo torres edu souza julio lacerda gonzalo fuenmayor vitorugo holding brush gui guimaraes toolbelt nico delort gostoso vastter morais rafeal albuquerque gustavo dore","sera nuevo lugar favorito atardeceres sobre mar sabes lugar habar"
"a plate of food on a table with a colorful table cloth, the table is full of food, mexican desert, tlaquepaque, offering a plate of food, chilaquiles, overflowing feast buffet table, mushrooms and peyote at the base, bowl filled with food, full plate, mexico, pan and plates, tacos, delicious food","En tus próximas vacaciones ¡Aprovecha las promociones y descuentos de la cuponera de Restaurantes que Acapulco tienen para ti!

Link en bio: https://visitacapulco.travel/cuponera-de-restaurantes-acapulco/

#AcaTeQuiero
#VisitaAcapulco
#VeranoEnAcapulco","Un plato de comida en una mesa con un colorido tela de mesa, la mesa está llena de comida, desierto mexicano, tlaquepaco, ofreciendo un plato de comida, chilaquiles, mesa de buffet de fiesta desbordante, champiñones y peyote en la base, un tazón lleno de comida, placa completa, mexico, pan y platos, tacos, deliciosos alimentos.","En tus próximas vacantes ¡apravecha las promociones y descuentos de la cuponera de restaurante que acapulco tienen para ti!

Link en bio: https://visitacapulco.travel/cuponera-de-restaurantes-acapulco/

#Acatequiero
#Visitaacapulco
#Veranoenacapulco","plato comida mesa colorido tela mesa mesa llena comida desierto mexicano tlaquepaco ofreciendo plato comida chilaquiles mesa buffet fiesta desbordante champinones peyote base tazon lleno comida placa completa pan platos tacos deliciosos alimentos","tus proximas vacantes apravecha promociones descuentos cuponera restaurante tienen ti link bio https visitacapulco travel cuponera restaurantes"
"a wave in the ocean, wave breaking, surf photography, blue ocean, inside the curl of a wave, surf, azure waves of water, tsunami behind him, surfing a barrel wave, blue crashing waves, blue water, big wave, ocean wave, deep blue ocean color, deep blue oceans, beautiful waves in sea, ocean swells, blue colors, ocean waves","Un excelente clima y playas de arena dorada te esperan este #VeranoEnAcapulco.

#AcaTeQuiero
#VisitaAcapulco","Una ola en el océano, ruptura de ondas, fotografía de surf, océano azul, dentro del rizo de una ola, surf, ondas azules de agua, tsunami detrás de él, surfeando una ola de barril, olas azules, olas azules, grandes ondas, ondas oceánicas, color azul profundo, océanos azules profundos, hermosas ondas en el mar, olas oceánicas, colores azules, océanos, olas oceánicas","Un Excelente Clima y Playas de Arena Dorada Te Esperan Este #veranoenacapulco.

#Acatequiero
#Visitaacapulco","ola ruptura ondas surf dentro rizo ola surf ondas azules tsunami detras surfeando ola barril olas azules grandes ondas oceanicas color profundo oceanos azules profundos hermosas ondas olas oceanicas colores azules oceanos olas oceanicas","excelente clima playas arena dorada esperan"
"a sunset over the ocean with a bird flying in the sky, sunset kanagawa prefecture, by Kume Keiichiro, sun sunset, shining sea, which shows a beach at sunset, it is sunset, the sunset, sunset photo, sun set, japan shonan enoshima, sunset, setting sun, golden sun, with a sunset, with sunset, brilliant sunset","Buenos días desde el Jardín Secreto Centro Holístico, Acapulco.

📸 @jardinsecreto.mx 

#AcaTeQuiero
#VisitaAcapulco
#PlayaBonfil 
#AcapulcoDiamante 
#VeranoEnAcapulco","Una puesta de sol sobre el océano con un pájaro volando en el cielo, la prefectura del atardecer Kanagawa, por Kume Keiichiro, Sun Sunset, Sheining Sea, que muestra una playa al atardecer, es al atardecer, al atardecer, al atardecer, al sol, a Japón Shonan Enoshima, al sol, al sol, al sol dorado, con una puesta de sol, al atardecer, al sol brillante","Buenos Días Desde El Jardín Secro Centro Holístico, Acapulco.

📸 @jardinsecreto.mx 

#Acatequiero
#Visitaacapulco
#Playabonfil 
#Acapulcodiamante 
#Veranoenacapulco","puesta pajaro volando cielo prefectura kanagawa kume keiichiro sun sunset sheining sea muestra es japon shonan enoshima dorado puesta brillante","buenos dias desde jardin secro centro holistico mx play bon fil diam ante"
