prompt,prompt_traducido,prompt_limpio,texto_procesado,cluster,tema_principal,ciudad
"a man in a black hat, guanajuato, mexico, downtown mexico, ancient catedral behind her, mexican folklore, in a city with a rich history, tlaquepaque, inspired by Francisco de Burgos Mantilla, aztec architecture, mexico city, wearing sombrero, mexican vaquero, sombrero, jerez","Un hombre con un sombrero negro, Guanajuato, México, el centro de México, antiguo Catedral detrás de ella, folklore mexicano, en una ciudad con una rica historia, tlaquepqueque, inspirado en Francisco de Burgos Mantilla, arquitectura azteca, Ciudad de México, con sombrero, Vacero mexicano, sombrero, jézz",un hombre con un sombrero negro guanajuato mexico el centro de mexico antiguo catedral detras de ella folklore mexicano en una ciudad con una rica historia tlaquepqueque inspirado en francisco de burgos mantilla arquitectura azteca ciudad de mexico con sombrero vacero mexicano sombrero jezz,hombre negro guanajuato centro antiguo catedral folklore rico historia tlaquepqueque inspirado francisco burgos mantilla arquitectura azteca ciudad mexico vacero mexicano sombrero jezz,2,ciudad,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a tall building with a clock on the front, neo - gothic architecture, gothic cathedral, dark gothic cathedral, neo gothic, neogothic, gothic architecture, inspiring gothic architecture, photographic isometric cathedral, neo - gothic, neo-gothic, alabaster gothic cathedral, gothic building style, neo-gothic concept, scary gothic architecture, 3 6 0 picture, neogothic art","Un edificio alto con un reloj en la parte delantera, arquitectura neo -gótica, catedral gótica, catedral gótica oscura, neo gótico, neogótico, arquitectura gótica, arquitectura gótica inspiradora, catedral isométrica fotográfica, neo -gótico, neo -gótico, alabastro gótico gótico, estilo de edificio gótico, concepto neo -gótico gótico gótico, 3 pancy gothic.arte neogótico",un edificio alto con un reloj en la parte delantera arquitectura neo gotica catedral gotica catedral gotica oscura neo gotico neogotico arquitectura gotica arquitectura gotica inspiradora catedral isometrica fotografica neo gotico neo gotico alabastro gotico gotico estilo de edificio gotico concepto neo gotico gotico gotico 3 pancy gothicarte neogotico,alto reloj delantero gotica oscuro arquitectura inspiradoro catedral isometrico fotografico alabastro estilo edificio concepto neo gotico pancy gothic arte neogotico,4,inspirado,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a plate with meat and vegetables on it, food focus, mixed plate and leather armor, on a plate, meat and lichens, food. craft and adventure, the plate is on a wooden table, no restaurant, served on a plate, pork meat, tacos, central pork, breakfast at las pozas, woodfired, local foods, mixed animal","Un plato con carne y verduras, enfoque de comida, plato mixto y armadura de cuero, en un plato, carne y líquenes, comida.Craft and Adventure, el plato está en una mesa de madera, sin restaurante, servido en un plato, carne de cerdo, tacos, carne de cerdo central, desayuno en Las Posas, madera, alimentos locales, animales mixtos",un plato con carne y verduras enfoque de comida plato mixto y armadura de cuero en un plato carne y liquenes comidacraft and adventure el plato esta en una mesa de madera sin restaurante servido en un plato carne de cerdo tacos carne de cerdo central desayuno en las posas madera alimentos locales animales mixtos,verdura enfoque armadura cuero liquenes comida craft and adventure mesa restaurante servido plato taco carne cerdo central desayuno posa madera alimento local animal mixto,1,comida,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a view of the town of cueta, ecuador, whitewashed buildings, panorama of crooked ancient city, mud and brick houses, mountains and a huge old city, city of armenia quindio, peaked wooden roofs, cobblestone streets, old buildings, in a city with a rich history, white buildings with red roofs, colonial house in background, ancient buildings","Una vista de la ciudad de Cueta, Ecuador, edificios encalados, panorama de la ciudad antigua torcida, casas de barro y ladrillos, montañas y una enorme ciudad antigua, ciudad de Armenia Quindio, techos de madera de pico, calles topblestone, edificios antiguos, en una ciudad con una rica historia, edificios blancos con techos rojos, casa de colonial en el fondo, edificios antiguos.",una vista de la ciudad de cueta ecuador edificios encalados panorama de la ciudad antigua torcida casas de barro y ladrillos montanas y una enorme ciudad antigua ciudad de armenia quindio techos de madera de pico calles topblestone edificios antiguos en una ciudad con una rica historia edificios blancos con techos rojos casa de colonial en el fondo edificios antiguos,vista cueta ecuador encalado panorama torcido barro ladrillo montana enorme armenia quindio madera pico calle topblestone ciudad rico historia blanco techo rojo casa colonial fondo edificio antiguo,2,ciudad,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a long hallway with columns and a ceiling, marble columns, gigantic pristine marble columns, tall columns, white marble interior photograph, marble white columns, marble columns in background, museum background, archs and columns, columns, museum light, classical stone columns, inside a museum, giant columns, hall of mirrors, pillars, many columns, hospital interior, pillars on ceiling","Un pasillo largo con columnas y un techo, columnas de mármol, gigantescas columnas de mármol prístino, columnas altas, fotografía interior de mármol blanco, columnas blancas de mármol, columnas de mármol en el fondo, fondo del museo, arcos y columnas, columnas, luz de museo, columnas de piedra clásica, dentro de un museo, columnas gigantes, pasillo de espejos, pilares, muchas columnas, interiores de hospitales, columnas en cineos en cineos.",un pasillo largo con columnas y un techo columnas de marmol gigantescas columnas de marmol pristino columnas altas fotografia interior de marmol blanco columnas blancas de marmol columnas de marmol en el fondo fondo del museo arcos y columnas columnas luz de museo columnas de piedra clasica dentro de un museo columnas gigantes pasillo de espejos pilares muchas columnas interiores de hospitales columnas en cineos en cineos,techo gigantesco pristino alto fotografia blanco marmol fondo arco luz piedra clasico museo gigante pasillo espejo pilar interior hospital columna cineo,3,fondo,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a man in a black shirt, daniel ricciardo, max verstappen, jesus alonso iglesias, f 1, formula 1, marc, good news on sunday, inspired by Alonso Vázquez, vale, sublime-cool-hot-hyperadvanced, red bull, dad energy, wearing orange sunglasses, dodging bullets, dark blue + dark orange, petrol energy, formula 1 garage","Un hombre con una camisa negra, Daniel Ricciardo, Max Verstappen, Jesus Alonso Iglesias, F 1, Fórmula 1, Marc, buenas noticias el domingo, inspirado por Alonso Vázquez, Vale, sublime-Cool-Cool-Hot-Hyperadvanced, Red Bull, Energía de papá, con glases de solares naranjas, Bullets Dodging Bullets, Blue Darly Blue, Petrol-Hotvanced, Formula 1 Garage 1 Garea 1.",un hombre con una camisa negra daniel ricciardo max verstappen jesus alonso iglesias f 1 formula 1 marc buenas noticias el domingo inspirado por alonso vazquez vale sublimecoolcoolhothyperadvanced red bull energia de papa con glases de solares naranjas bullets dodging bullets blue darly blue petrolhotvanced formula 1 garage 1 garea 1,hombre camisa negro daniel ricciardo max verstappen jesus iglesias marc noticia domingo inspirado alonso vazquez valer sublime cool hot hyperadvanced red bull energia papa glases solar naranja bullets dodging bullet darly blue petrol hotvanced formular garage garea,4,inspirado,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a street with people walking around it, tlaquepaque, art cover, sunset background, cover, guanajuato, cover art, golden hour background, phograph, by Aquirax Uno, parce sepulto, by Puru, quotev, inspired by Ramón Piaguaje, crepuscule, chiaoscuro, voque","Una calle con gente caminando a su alrededor, tlaquePqueque, portada de arte, fondo de puesta de sol, portada, guanajuato, arte de portada, fondo de hora dorada, fograph, de Aquirax Uno, Parce Sepulto, de Puru, QUOTEV, inspirado en Ramón Piaguaje, Crepusus, Chiasoscuro, Voque, Voque, Voque",una calle con gente caminando a su alrededor tlaquepqueque portada de arte fondo de puesta de sol portada guanajuato arte de portada fondo de hora dorada fograph de aquirax uno parce sepulto de puru quotev inspirado en ramon piaguaje crepusus chiasoscuro voque voque voque,calle gente caminar tlaquepqueque puesta sol guanajuato arte portada fondo hora dorado fograph aquirax parce sepulto puru quotev inspirado ramon piaguaje crepusus chiasoscuro voque,4,inspirado,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a group of boats floating in the water at sunset, sunset view, changquan, the most beautiful sunset, at a beautiful sunset, azores, sunset, holywood scene, summer sunset, sun sunset, beautiful sunset, the sunset, during a sunset, farol da barra, which shows a beach at sunset, brilliant sunset, sunrise, evening sunset, with a sunset","Un grupo de barcos que flotan en el agua al atardecer, vista al atardecer, Changquan, la puesta de sol más hermosa, en una hermosa puesta de sol, Azores, puesta de sol, escena de Holywood, puesta de sol de verano, puesta de sol, hermosa puesta de sol, la puesta de sol, durante una puesta de sol, Farol da Barra, que muestra una playa en la playa, brillante al sol, al sol de la noche, con una puesta de sol con una puesta de sol, con una puesta de sol.",un grupo de barcos que flotan en el agua al atardecer vista al atardecer changquan la puesta de sol mas hermosa en una hermosa puesta de sol azores puesta de sol escena de holywood puesta de sol de verano puesta de sol hermosa puesta de sol la puesta de sol durante una puesta de sol farol da barra que muestra una playa en la playa brillante al sol al sol de la noche con una puesta de sol con una puesta de sol con una puesta de sol,grupo barco flotar agua visto atardecer changquan azores escena holywood verano hermoso puesto farol barra mostrar playa brillante noche puesta sol,3,fondo,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a woman is leaning out the window of a train, travel and adventure, train far, expectation of adventure, train, polar express, the milky way express, steam trains, trains in the background, trains, locomotive, choo choo, railroad, railways, travel, steam train, conductor, high speed trains, goddess of travel, traveling through the mountains","Una mujer está apoyando por la ventana de un tren, viajes y aventuras, entrenar lejos, expectativa de aventura, tren, expreso polar, la Vía Láctea, trenes de vapor, trenes en el fondo, trenes, locomotoras, choo choo, ferrocarril, ferrocarriles, viajes, tren de vapor, conductor, trenes de alta velocidad, Diosa de viajes, viaje a través de las montañas.",una mujer esta apoyando por la ventana de un tren viajes y aventuras entrenar lejos expectativa de aventura tren expreso polar la via lactea trenes de vapor trenes en el fondo trenes locomotoras choo choo ferrocarril ferrocarriles viajes tren de vapor conductor trenes de alta velocidad diosa de viajes viaje a traves de las montanas,mujer apoyar ventana entrenar lejos expectativa aventura expreso polar via lactea fondo trenes locomotoras choo ferrocarril ferrocarriles viajes vapor conductor tren alto velocidad diós viaje traves montana,4,inspirado,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"pantei - pantei - pantei - pantei pantei pantei pantei pantei pantei pante, animal - shaped bread, pastry lizard, animal - shaped cake, panini, bun ), by Josefina Tanganelli Plana, bun, pastry, fantasy bakery, gastronomy magazine, a pastel, tight bun","Pantei - Pantei - Pantei - Pantei Pantei Pantei Pantei Pantei Pantei Pantei, Animal - Pan en forma, Lizardo de pastelería, Animal - Pastel en forma, Panini, Bun), de Josefina Tanganelli Plana, Bun, Pastry Bakery, Bakery, Gastronomy Magazine, A Pastel, Tall Bun Bun Bun, Bun Tun Bun, Bun Tun Bun, Bun Tun Bun, Bun Tun Bun, pan",pantei  pantei  pantei  pantei pantei pantei pantei pantei pantei pantei animal  pan en forma lizardo de pasteleria animal  pastel en forma panini bun de josefina tanganelli plana bun pastry bakery bakery gastronomy magazine a pastel tall bun bun bun bun tun bun bun tun bun bun tun bun bun tun bun pan,pantei lizardo pasteleria animal forma panini josefina tanganelli plano pastry bakery gastronomy magazine pastel tall tun bun pan,1,comida,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a person holding a blue bowl with a dessert in it, ice cream on the side, burnt edges, melted cheese, ice cream, mac and cheese, chiaoscuro, melted cheddar, burnt armor, charred desert, cooked to perfection, burn scar left cheek, lasagna, hot food, serving suggestion, melted wax, melting cheese, nachos, a pastel","Una persona que sostiene un tazón azul con un postre, helado a un lado, bordes quemados, queso derretido, helado, macarrones con queso, chiaoscuro, queso de queso derretido, armadura quemada, desierto carbonizado, cocinada a perfección, cicatriz de quemaduras izquierda, lasaña, comida caliente, sugerencia de parto, cerveza de fusión, queso combinado, nachos, un pasado de la altura de",una persona que sostiene un tazon azul con un postre helado a un lado bordes quemados queso derretido helado macarrones con queso chiaoscuro queso de queso derretido armadura quemada desierto carbonizado cocinada a perfeccion cicatriz de quemaduras izquierda lasana comida caliente sugerencia de parto cerveza de fusion queso combinado nachos un pasado de la altura de,persona sostener tazon azul postre bordes helado macarrón chiaoscuro derretido armadura quemado desierto carbonizado cocinado perfeccion cicatriz quemadura izquierdo lasán comida caliente sugerencia parto cerveza fusion queso combinado nacho altura,1,comida,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a stone bridge in the middle of a green field, aqueducts, las pozas, archways made of lush greenery, aqueduct and arches, acacia trees, ancient ruins and waterfalls, damaged vine bridge, sweet acacia trees, old stone bridge over the creek, old bridge, background lush vegetation, green trees, panoramic photography, stone bridge, natural botanical gardens","Un puente de piedra en medio de un campo verde, acueductos, Las Plas, arcos hechos de exuberante vegetación, acueducto y arcos, árboles de acacia, ruinas antiguas y cascadas, puente de vid dañada, árboles dulces de acacia, puentes de piedra viejos sobre el arroyo, vegetación de fondo, trees verdes, fotografía panorámica, puente de piedra natural, jardines botanicales naturales.",un puente de piedra en medio de un campo verde acueductos las plas arcos hechos de exuberante vegetacion acueducto y arcos arboles de acacia ruinas antiguas y cascadas puente de vid danada arboles dulces de acacia puentes de piedra viejos sobre el arroyo vegetacion de fondo trees verdes fotografia panoramica puente de piedra natural jardines botanicales naturales,campo verde pla hecho exuberante acueducto arco ruina antiguo cascada vid danado arbol dulce acacia puent viejo arroyo vegetacion fondo trees verdes fotografia panoramica puente piedra jardines botanical natural,3,fondo,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a statue of a man with a sword in the air, pink sky, pink skies, pastel palette silhouette, pink and grey clouds, pink clouds, pink clouds in the sky, pink mist, silhouette over sunset, female ascending into the sky, pink fog background, pink cloud background, pink sunset, pink clouds background, pink hues, athena, illinois vaporwave","Una estatua de un hombre con una espada en el aire, cielo rosado, cielos rosados, silueta de paleta pastel, nubes rosadas y grises, nubes rosadas, nubes rosas en el cielo, niebla rosada, silueta sobre la puesta de sol, ascendiendo al cielo, fondo de niebla rosada, fondo de nubes rosadas, sol rosa, nubes rosadas de fondo, hues rosados, athena, illinois vaporwave vaporwavewave",una estatua de un hombre con una espada en el aire cielo rosado cielos rosados silueta de paleta pastel nubes rosadas y grises nubes rosadas nubes rosas en el cielo niebla rosada silueta sobre la puesta de sol ascendiendo al cielo fondo de niebla rosada fondo de nubes rosadas sol rosa nubes rosadas de fondo hues rosados athena illinois vaporwave vaporwavewave,estatua hombre espada aire paleta pastel gris silueta puesta ascender cielo niebla rosada sol rosa nube fondo hues rosado athena illinois vaporwave vaporwavewave,3,fondo,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
