prompt,prompt_traducido,prompt_limpio,texto_procesado,cluster,tema_principal,ciudad,fuente,sentimiento,frame,subtopico
"a poster for the festival of the world, quechua!, ecopunk rococo, quechua!!, lucha libre, full poster, quechua, promotional poster, hdrp, in the argentine congress, luminist, csp, dynamic poster, promo poster, \'emulador\', ecopunk, pilar, poster, a poster","Un póster para el Festival del Mundo, Quechua!, Ecopunk Rococo, Quechua !!, Lucha Libre, Cartel completo, quechua, Cartel promocional, HDRP, en el Congreso Argentino, Luminist, CSP, Coster Dynamic, Poster promocional, \ 'Emulador \', Ecopunk, Parter, Coste, Posteo, un postrer, un poster, un poster.",un poster para el festival del mundo quechua ecopunk rococo quechua  lucha libre cartel completo quechua cartel promocional hdrp en el congreso argentino luminist csp coster dynamic poster promocional  emulador  ecopunk parter coste posteo un postrer un poster un poster,festival mundo rococo luchar libre completo quechua cartel hdrp congreso argentino luminist csp coster dynamic promocional emulador ecopunk parter coste posteir postrer poster,1,muerto,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,POS,NEUTRAL,-1
"a man and woman standing behind a table of vegetables, community celebration, vendors, local foods, farmer's market setting, colored market stand, market, greta thunberg smiling, marketplace, chilean, market setting, levitating agricultural sphere, idyllic and fruitful land, street vendors, street market, [ organic, quechua!, an island made of food, home and garden","Un hombre y una mujer que se encuentran detrás de una mesa de verduras, celebración comunitaria, vendedores, alimentos locales, escenario de mercado de agricultores, puesto de mercado, mercado, Greta Thunberg Smiling, Marketplace, Chilean, Market Seting, Levitating Agricultural Sphere, Land Idylic and Bertsfuly Land, Street Vendors, Street Market, [QuechUa!, Una isla agrícola de alimentos, hogar y jardín y jardín.",un hombre y una mujer que se encuentran detras de una mesa de verduras celebracion comunitaria vendedores alimentos locales escenario de mercado de agricultores puesto de mercado mercado greta thunberg smiling marketplace chilean market seting levitating agricultural sphere land idylic and bertsfuly land street vendors street market quechua una isla agricola de alimentos hogar y jardin y jardin,hombre mujer encontrar mesa verdura celebracion comunitario vendedor local escenario agricultor puesto mercado greta thunberg smiling marketplace chilean seting levitating agricultural sphere idylic and bertsfuly land vendors street market quechua isla agricola alimento hogar jardin,1,muerto,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,-1
"a group of people in costumes and masks, celebrating day of the dead, dia de los muertos, dia de muertos, el dia los muertos, dia de muertos dress and make up, dia de los muertos!!, day of all the dead, ( dia de los muertos ), (dia de los muertos)","Un grupo de personas en disfraces y máscaras, celebrando Day of the Dead, Dia de los Muertos, Dia de Muertos, El Dia los Muertos, Dia de Muertos, DISE, DIA DE LOS MUERTOS!, Día de todos los muertos, (Dia de los Muertos), (Dia de los Muertos)",un grupo de personas en disfraces y mascaras celebrando day of the dead dia de los muertos dia de muertos el dia los muertos dia de muertos dise dia de los muertos dia de todos los muertos dia de los muertos dia de los muertos,grupo persona disfraz mascara celebrar day the dead dise muerto,3,the,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,-1
"boats on the canal in the village of san, small canoes, one small boat, rowing boat, sitting in a small bamboo boat, photo taken with ektachrome, canal, gondolas, waterway, 3 boat in river, boats in the water, waterways, canals, wide angle photograph, small boat, river with low flying parrots","barcos en el canal en el pueblo de San, canoas pequeñas, un bote pequeño, remo de remo, sentados en un pequeño bote de bambú, fotos tomadas con ektachrome, canal, góndolas, vías fluviales, 3 botes en río, botes en el agua, vías fluviales, canales, fotografía amplia, pequeño, río, río con loro volador bajo",barcos en el canal en el pueblo de san canoas pequenas un bote pequeno remo de remo sentados en un pequeno bote de bambu fotos tomadas con ektachrome canal gondolas vias fluviales 3 botes en rio botes en el agua vias fluviales canales fotografia amplia pequeno rio rio con loro volador bajo,barco pueblo san canoa pequena remo sentado bambu foto tomado ektachrome gondola bote agua via fluvial canal fotografia amplia pequeno rio loro volador,4,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,1
"a train is parked in the middle of a park, foto realista, cinematográfica, locomotive, thomas the tank engine, trains in the background, hyper photorealistic raytracing, train, choo choo, cinemática, trains, park background, gigapixel photo, são paulo, vale encantado, the cars have faces, chiascuro","Un tren está estacionado en el medio de un parque, Foto Realista, cinematográfica, locomotora, Thomas the Tank Engine, Trains en el fondo, Raytracing hiper fotorrealista, Train, Choo Choo, Cinemática, Trenes, fondo del parque, Gigapixel Photo, São Paulo, Vale Paulo, Cares, CHIAcurocuro Cubes, CHIAcurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocuro,",un tren esta estacionado en el medio de un parque foto realista cinematografica locomotora thomas the tank engine trains en el fondo raytracing hiper fotorrealista train choo choo cinematica trenes fondo del parque gigapixel photo sao paulo vale paulo cares chiacurocuro cubes chiacurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocuro,estacionado foto realista cinematografico locomotora thomas the tank engine trains raytracing hiper fotorrealista train choo cinematico tren fondo parque gigapixel photo sao vale paulo car chiacurocuro cubes chiacurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocurocuro,3,the,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,-1
"two people walking through a garden filled with flowers, walking at the garden, natural botanical gardens, city park with flowers, swirling gardens, parks and gardens, botanical garden, parks and public space, in an eco city, the empress’ swirling gardens, pink grass, sydney park, standing in a botanical garden, over grown botanical garden, field of pink flowers","Dos personas que caminan por un jardín llena de flores, caminando en el jardín, jardines botánicos naturales, parque urbano con flores, jardines giratorios, parques y jardines, jardín botánico, parques y espacio público, en una ciudad ecológica, jardines de los remolinos, hierba rosada, parque de Sydney, de pie en un jardín botánico, sobre jardín botánico en adultos, campo de flores rosadas de flores rosadas.",dos personas que caminan por un jardin llena de flores caminando en el jardin jardines botanicos naturales parque urbano con flores jardines giratorios parques y jardines jardin botanico parques y espacio publico en una ciudad ecologica jardines de los remolinos hierba rosada parque de sydney de pie en un jardin botanico sobre jardin botanico en adultos campo de flores rosadas de flores rosadas,persona lleno caminar natural urbano giratorio parques espacio publico ciudad ecologica jardines remolino hierba parque sydney pie jardin botanico adulto campo flor rosado,4,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
"a tall tree with a blue sky in the background, tall pine trees, pine tree, single pine, arrendajo in avila pinewood, pine trees, in avila pinewood, maritime pine, pine forests, pine forest, a tall tree, sparse pine trees, tall trees, pine, with a tall tree, tall tree, wide angle 70mm lens","Un árbol alto con un cielo azul en el fondo, pinos altos, pino, un solo pino, arrendajo en pino de pino de Ávila, pinos, en pino de ávila, pino marítimo, bosques de pinos, bosque de pinos, un árbol alto, árboles de pinos escasos, árboles altos, pinos, con un árbol alto, árbol alto, lente de 70 mm de 70 mm Lens Lens",un arbol alto con un cielo azul en el fondo pinos altos pino un solo pino arrendajo en pino de pino de avila pinos en pino de avila pino maritimo bosques de pinos bosque de pinos un arbol alto arboles de pinos escasos arboles altos pinos con un arbol alto arbol alto lente de 70 mm de 70 mm lens lens,cielo azul fondo arrendajo avila maritimo bosques bosque pino arbol alto lente lens,4,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEG,NEUTRAL,-1
"a bird is perched on a piece of wood, guardian of the holy lake, heron, falvie, sitting on a wood dock, rule of thirds composition, photo taken with nikon d 7 5 0, photo taken with nikon d750, standing bird, sitting on a wooden dock, heron prestorn, on a canva","Un pájaro está encaramado en un trozo de madera, guardián del lago Santo, Heron, Falvie, sentado en un muelle de madera, composición de la regla de los tercios, fotos tomadas con Nikon D 7 5 0, foto tomada con Nikon D750, pájaro de pie, sentado en un muelle de madera, Heron Prestorn, en un Canva",un pajaro esta encaramado en un trozo de madera guardian del lago santo heron falvie sentado en un muelle de madera composicion de la regla de los tercios fotos tomadas con nikon d 7 5 0 foto tomada con nikon d750 pajaro de pie sentado en un muelle de madera heron prestorn en un canva,encaramado trozo guardian lago santo falvie composicion regla tercio foto tomado nikon d750 pajaro pie sentado muelle madera heron prestorn canva,1,muerto,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,-1
"a large white cloud, at the terrace, terrace, mexico city, downtown mexico, miles df, tall terrace, view from the space, beautiful terrace, urban plaza, pritzker architecture prize, in a city with a rich history, patio, urban house, wide open city ”, museum background, restaurant in background, terraces, un restaurant avec une terrasse","Una gran nube blanca, en la terraza, la terraza, la ciudad de México, el centro de México, Miles DF, la terraza alta, la vista desde el espacio, la hermosa terraza, la plaza urbana, el premio de arquitectura Pritzker, en una ciudad con una rica historia, patio, casa urbana, ciudad abierta "", fondo de museo, restaurante, terrazas, terrazas, un restaurante unee une terraza",una gran nube blanca en la terraza la terraza la ciudad de mexico el centro de mexico miles df la terraza alta la vista desde el espacio la hermosa terraza la plaza urbana el premio de arquitectura pritzker en una ciudad con una rica historia patio casa urbana ciudad abierta  fondo de museo restaurante terrazas terrazas un restaurante unee une terraza,nube blanco centro mexico miles alto vista espacio hermoso plaza premio arquitectura pritzker rico historia patio casa urbano ciudad abierto fondo museo restaurante unee unir terraza,0,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
"two skeletons in a parade with flowers and a man in a top hat, el dia los muertos, dia de los muertos, ( ( dia de los muertos ) ), la catrina, ( el dia los muertos ), dia de los muertos. 8 k, celebrating day of the dead, dia de los muertos!!","Dos esqueletos en un desfile con flores y un hombre con un sombrero de copa, El Dia Los Muertos, Dia de los Muertos, ((Dia de los Muertos)), La Catrina, (El Dia Los Muertos), Dia de los Muertos.8 K, Celebrando Day of the Dead, Dia de los Muertos !!",dos esqueletos en un desfile con flores y un hombre con un sombrero de copa el dia los muertos dia de los muertos dia de los muertos la catrina el dia los muertos dia de los muertos8 k celebrando day of the dead dia de los muertos,esqueleto desfile flor hombre sombrero copa catrina celebrar day the dead muerto,3,the,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,-1
"a person in a costume with a bird on his head, he is holding a large book, vivide colors, colorful bird with a long, book, holding a giant book, anthropomorphic bird, alebrijes aesthetic, flying books, cosplay journal cover, brochure, holding a book, flying magic books, book in hand, with great birds, ecopunk","Una persona con un disfraz con un pájaro en la cabeza, está sosteniendo un libro grande, Vivide Colors, colorido pájaro con un libro largo, libro, sosteniendo un libro gigante, ave antropomórfica, Estética de Alebrijes, Libros Voladores, cobertura de diario de cosplay, folleto, folleto, libros de libros mágicos voladores, libro en la mano, con grandes birds, Ecopunk.",una persona con un disfraz con un pajaro en la cabeza esta sosteniendo un libro grande vivide colors colorido pajaro con un libro largo libro sosteniendo un libro gigante ave antropomorfica estetica de alebrijes libros voladores cobertura de diario de cosplay folleto folleto libros de libros magicos voladores libro en la mano con grandes birds ecopunk,persona disfraz cabeza vivide colors colorido pajaro sostener gigante ave antropomorfico estetico alebrij cobertura diario cosplay folleto libros magico volador libro mano birds,1,muerto,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,-1
"a small hut in a garden, woodfired, mushroom house, oven, in his hobbit home, made of baked beans, large cornicione, the pizza has a large cornicione, houses in the shape of mushrooms, the leaning tower of pizza, ecological art, mushroom houses, hansel and gretel, inside a medieval hobbit home, witch hut","Una pequeña choza en un jardín, madera, casa de hongos, horno, en su casa de Hobbit, hecha de frijoles horneados, gran corniciona, la pizza tiene una gran corniciona, casas en forma de champiñones, la torre de pizza de pizza, arte ecológico, casas de hongos, hansel y gretel, dentro de una casa de hobbita medieval, hutch hutch hutch hutch hutch, casas de champi",una pequena choza en un jardin madera casa de hongos horno en su casa de hobbit hecha de frijoles horneados gran corniciona la pizza tiene una gran corniciona casas en forma de champinones la torre de pizza de pizza arte ecologico casas de hongos hansel y gretel dentro de una casa de hobbita medieval hutch hutch hutch hutch hutch casas de champi,pequén choza jardin madera horno hobbit hecho frijol horneado corniciona forma champinones torre pizza arte ecologico hongo hansel gretel hobbita medieval hutch casa champi,2,flor,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
"a large room with many columns and chairs, school courtyard, guanajuato, tlaquepaque, quito school, museum background, royal palace interior, patio, adjacent hallways, atrium, downtown mexico, interior architecture view, courtyard, background is a low light museum, national art school mfa, the hard and strong buildings, school of fishes","Una sala grande con muchas columnas y sillas, patio escolar, guanajuato, tlaquepaque, escuela de quito, fondo del museo, interior del palacio real, patio, pasillos adyacentes, atrio, centro de México, visión de arquitectura interior, patio, antecedentes es un museo de baja luz, MFA de la escuela de arte nacional, los edificios duros y fuertes, la escuela de Fishes de Fishes.",una sala grande con muchas columnas y sillas patio escolar guanajuato tlaquepaque escuela de quito fondo del museo interior del palacio real patio pasillos adyacentes atrio centro de mexico vision de arquitectura interior patio antecedentes es un museo de baja luz mfa de la escuela de arte nacional los edificios duros y fuertes la escuela de fishes de fishes,sala columna silla escolar guanajuato tlaquepaque quito fondo palacio real pasillo adyacente atrio centro mexico vision arquitectura interior patio antecedente museo bajo luz mfa arte nacional edificio duro fuerte escuela fishes,0,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
"the inside of a building with a spiral staircase, fancy library, neo - andean architecture, neo-andean architecture, the hard and strong buildings, white marble buildings, inside a library, museum background, quito school, neoclassical architecture, library, réunion des musées nationaux, government archive, neoclassicism, marble and wood and glass","El interior de un edificio con una escalera de caracol, una biblioteca elegante, arquitectura neo -andina, arquitectura neo -andina, edificios duros y fuertes, edificios de mármol blanco, dentro de una biblioteca, fondo de museo, escuela de quito, arquitectura neoclásica, biblioteca, réunion des Musées Nationalaux, archivos gubernamentales, neoclasicismo, mármol y madera y vidrio de vidrio y vidrio",el interior de un edificio con una escalera de caracol una biblioteca elegante arquitectura neo andina arquitectura neo andina edificios duros y fuertes edificios de marmol blanco dentro de una biblioteca fondo de museo escuela de quito arquitectura neoclasica biblioteca reunion des musees nationalaux archivos gubernamentales neoclasicismo marmol y madera y vidrio de vidrio y vidrio,interior escalera caracol elegante neo andino duro fuerte edificio blanco fondo museo escuela quito arquitectura neoclasico biblioteca reunion des musees nationalaux archivo gubernamental neoclasicismo marmol madera vidrio,0,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,POS,NEUTRAL,0
"a park with a bench and a gaze, ancient greek temple, inspired by Henry Carr, parks and monuments, sacrificial altar, throne of olympus, greek temple, roman pillars, obelisks, greek temple background, on a great neoclassical square, ancient greek temple ruins, mysterious temple setting, inspired by Amelia Robertson Hill, parks and gardens, neoclassical composition","a park with a bench and a gaze, ancient greek temple, inspired by Henry Carr, parks and monuments, sacrificial altar, throne of olympus, greek temple, roman pillars, obelisks, greek temple background, on a great neoclassical square, ancient greek temple ruins, mysterious temple setting, inspired by Amelia Robertson Hill, parks and gardens, neoclassical composition",a park with a bench and a gaze ancient greek temple inspired by henry carr parks and monuments sacrificial altar throne of olympus greek temple roman pillars obelisks greek temple background on a great neoclassical square ancient greek temple ruins mysterious temple setting inspired by amelia robertson hill parks and gardens neoclassical composition,park with bench gaze henry carr monuments sacrificial altar throne olympus roman pillars obelisks background great square ancient greek ruins mysterious temple setting inspired amelia robertson hill parks and gardens neoclassical composition,3,the,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
